sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_4290	ZNF300	2373	2846	2663	3686
s_4123	RHOXF2	2073	2250	2259	3112
s_5787	Non-Targeting Control	2986	3380	3594	4650
s_4383	FOXN4	1500	1643	1584	2049
s_3372	KLF3	1613	1756	1790	2227
s_1041	IL12A	3098	3373	3690	4685
s_3144	ZKSCAN5	2237	2721	2552	3284
s_5042	ZNF284	2822	3118	3315	4175
s_4741	BHLHA15	1292	1521	1462	1945
s_349	EBF1	1473	1714	1561	2109
s_5075	ZNF860	3084	3611	3648	4769
s_2289	ZNF35	2202	2540	2594	3378
s_3251	ZNF777	1954	2257	2285	2968
s_2316	ZNF69	2731	3250	3219	4110
s_2684	KLF4	1924	2246	2166	3003
s_5833	Non-Targeting Control	3153	3518	3540	4563
s_2588	TEAD2	1573	1622	1618	2194
s_3997	ZNF430	2096	2273	2363	3109
s_5972	Non-Targeting Control	3209	3593	3755	4730
s_5622	Non-Targeting Control	4913	5576	5531	7267
s_476	ETV4	3023	3287	3313	4211
s_1931	STAT6	1380	1460	1471	1862
s_2163	USF1	2412	2706	2765	3633
s_5874	Non-Targeting Control	1161	1290	1283	1707
