id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF132	16	0.29854	0.49254	0.999599	623	3	-0.027065	0.4746	0.66518	0.980535	909	2	-0.027065
ASCL1	16	0.070501	0.18741	0.982102	255	3	-0.013121	0.47621	0.66608	0.980535	910	1	-0.013121
TCF15	16	0.25346	0.44256	0.999599	556	3	0.024371	0.47661	0.6663	0.980535	911	1	0.024371
AR	16	0.39286	0.58165	0.999599	733	2	-0.026736	0.47742	0.66675	0.980535	912	2	-0.026736
ZNF555	16	0.5714	0.70571	0.999599	906	2	0.003458	0.48023	0.66832	0.980535	913	2	0.003458
NR1I2	16	0.090299	0.22275	0.982102	302	3	-0.043195	0.48125	0.6689	0.980535	914	2	-0.043195
ZBTB32	16	0.13482	0.29944	0.999599	385	2	-0.0021236	0.48343	0.67012	0.980535	915	2	-0.0021236
ZNF615	16	0.49836	0.6523	0.999599	827	1	0.012614	0.4838	0.67032	0.980535	916	2	0.012614
MED11	16	0.087164	0.21721	0.982102	293	3	-0.024615	0.48422	0.67057	0.980535	917	2	-0.024615
BTN2A1	16	0.59874	0.72686	0.999599	929	1	0.01032	0.48558	0.67133	0.980535	918	2	0.01032
ZBTB22	16	0.34493	0.54385	0.999599	687	3	0.01153	0.48581	0.67147	0.980535	919	2	0.01153
FOXR2	16	0.068678	0.18411	0.982102	252	3	0.012989	0.48621	0.67169	0.980535	920	2	0.012989
ZNF550	16	0.057932	0.16451	0.974765	228	4	-0.016357	0.487	0.67213	0.980535	921	1	-0.016357
PDX1	16	0.69787	0.78384	0.999599	1007	1	0.031583	0.48735	0.67233	0.980535	922	2	0.031583
FEV	16	8.1045e-05	0.00056957	0.109927	7	6	-0.00069208	0.48779	0.67258	0.980535	923	1	-0.00069208
TBX21	16	0.63134	0.75298	0.999599	970	2	-0.0035899	0.48811	0.67276	0.980535	924	2	-0.0035899
HOMEZ	16	0.27428	0.46566	0.999599	589	3	-1.8457e-05	0.48862	0.67305	0.980535	925	2	-1.8457e-05
ZNF316	16	0.050251	0.1495	0.966365	208	5	-0.0046522	0.48898	0.67326	0.980535	926	1	-0.0046522
ZNF296	16	0.086722	0.21643	0.982102	290	4	-0.0042081	0.48937	0.67348	0.980535	927	1	-0.0042081
TCF7	16	0.2434	0.43138	0.999599	542	3	-0.003282	0.48976	0.67371	0.980535	928	1	-0.003282
ZNF154	16	0.46314	0.62794	0.999599	787	2	0.0097027	0.4919	0.67492	0.980535	929	2	0.0097027
ZNF627	16	0.46479	0.62906	0.999599	791	1	0.011334	0.4933	0.67571	0.980535	930	2	0.011334
SMAD3	16	0.076053	0.19742	0.982102	264	4	-5.3375e-06	0.49392	0.67606	0.980535	931	2	-5.3375e-06
MECOM	16	0.14553	0.31737	0.999599	401	1	0.02775	0.49518	0.67678	0.980535	932	2	0.02775
