sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_1906	TAP1	3766	2996	3550	3943
s_1668	RFXANK	3891	3202	3584	4110
s_2484	Non-Targeting Control	5734	4559	5241	5805
s_831	HSPA1B	3480	2903	3326	3913
s_309	CDHR3	5579	4493	5058	5759
s_1218	MIB2	2242	1638	1485	1983
s_1736	S100A9	5083	4054	4666	5106
s_2594	Non-Targeting Control	4183	3330	3866	4288
s_2682	Non-Targeting Control	2419	1959	2248	2435
s_340	CFD	6270	4952	5567	6186
s_217	C6orf47	2668	2170	2346	2926
s_2548	Non-Targeting Control	5143	4216	4673	5617
s_1800	SLC26A4	4179	3439	3835	4529
s_1561	PSCA	3830	3183	3767	4134
s_1918	TBCE	2755	2329	2588	3088
s_1243	MRPL51	3561	2684	3147	3624
s_1061	KSR2	2888	2530	2988	3208
s_2131	TYMP	4245	3491	3818	4525
s_1468	PICALM	3464	3003	3248	3954
s_82	ARAP2	4203	3330	3867	4376
s_2704	Non-Targeting Control	2739	2303	2566	2843
s_1050	KRAS	4238	3533	4099	4683
s_477	DAB2	1306	1041	1171	1362
s_2278	CUL5	5031	4076	4692	5222
s_1506	PPAN-P2RY11	3499	2945	3399	3850
s_2452	Non-Targeting Control	3574	3028	3318	3850
s_448	CTR9	2729	2172	2619	2863
s_1070	LACC1	4063	3260	3685	4197
s_2833	Non-Targeting Control	3901	2904	3167	4018
s_1148	MAP2K6	5257	4468	4767	5480
s_180	BRD7	3079	2597	2899	3273
s_2627	Non-Targeting Control	3492	2917	3253	3717
s_1141	MAP2K4	1778	1468	1769	1982
s_627	FAM50A	3294	2537	2980	3368
s_312	CDHR3	4378	3703	4087	4796
s_2689	Non-Targeting Control	2507	2029	2237	2697
s_1766	SERHL2	4478	3662	4277	4839
s_349	CHUK	4735	3863	4537	4662
s_2492	Non-Targeting Control	4106	3270	3997	4404
s_2414	Non-Targeting Control	4874	3971	4351	5150
s_1421	OTULIN	3439	2822	3183	3662
s_130	ATP6AP1	3131	2491	2854	3428
s_1272	MYC	3411	2705	3020	3454
s_1413	OTUD3	3175	2628	2981	3436
s_2069	TRAF2	4036	3333	3890	4315
s_172	BRAF	3624	2903	3387	3777
s_1690	RNF25	3433	2665	3043	3349
s_128	ATP5D	4485	3625	4046	4550
s_1850	SPIRE1	3595	3001	3233	4018
s_1420	OTUD7B	4323	3520	4081	4542
s_1008	JUN	3175	2593	2969	3313
s_2773	Non-Targeting Control	3553	2929	3399	4016
s_2674	Non-Targeting Control	3634	2926	3318	3916
s_2084	TRAM1	5672	4796	5257	5944
s_765	HLA-A	3546	2820	3240	3800
s_358	CISH	6853	5503	5767	6851
s_684	GABRG2	3228	2673	3062	3542
s_1590	RAB32	3759	3163	3547	4072
s_2619	Non-Targeting Control	3095	2515	2778	3130
s_18	ACTL6A	3582	2851	3391	3704
s_2170	VCAN	3318	2619	2945	3351
s_1134	MAP2K2	3073	2519	2864	3393
s_199	C1orf106	4868	4110	4488	5334
s_405	CRK	3079	2571	2911	3253
s_615	ERG	4837	3879	4378	5061
s_2841	Non-Targeting Control	3517	2989	3070	3828
s_2634	Non-Targeting Control	5531	4580	5320	5869
s_1977	TLR5	3301	2687	3254	3582
s_2392	Non-Targeting Control	4186	3339	4017	4349
s_655	FLOT1	4646	3728	4357	4991
s_1194	MAX	4505	3602	4210	4703
s_342	CFH	3796	2960	3593	4127
s_59	ANGPTL6	2394	1857	2207	2512
s_423	CSNK1A1	4178	3593	3803	4696
s_1406	OAS2	6175	4665	5512	6198
s_2599	Non-Targeting Control	3796	3052	3404	4011
s_117	ATG16L1	3995	3129	3537	4219
s_1227	MICB	3743	3043	3396	3933
s_232	CARD9	3544	2914	3275	3918
s_1266	MUC22	4004	3153	3670	4215
s_512	DHX15	3099	2616	2790	3065
s_2305	GNAS	2185	1717	2022	2312
s_1412	OAS3	3364	2778	3037	3629
s_2089	TRIB1	1636	1320	1539	1779
s_1867	STAT2	3785	3092	3395	4057
s_1990	TLR8	4422	3395	3984	4549
s_2807	Non-Targeting Control	4873	3973	4609	5287
s_1275	MYCBP2	4386	3448	4180	4709
s_2686	Non-Targeting Control	2836	2296	2615	3001
s_1175	MAPK14	5736	4425	5173	5727
s_923	INPP5D	2621	2089	2443	2722
s_1116	LYZ	6588	5216	6126	6768
s_753	HIF1A	2420	1964	2070	2598
s_727	GSK3B	4096	3302	3590	4184
s_411	CSF2RB	3005	2596	2819	3125
s_283	CCR6	5077	4167	4695	5463
s_1248	MS4A14	4414	3553	4094	4501
s_1571	PSMB9	2971	2488	2857	3363
s_2717	Non-Targeting Control	3111	2664	2975	3326
s_1113	LYZ	3395	2810	3276	3557
s_1657	RFWD2	591	515	532	723
s_1598	RABGGTA	2946	2414	2803	3167
s_21	ACVR1B	1878	1516	1867	2073
s_828	HSP90B1	3927	3086	3761	4229
s_1581	PTPRR	3895	3124	3601	3944
s_1080	LEO1	2869	2363	3011	2972
s_1885	SUOX	3466	2934	3403	3864
s_1244	MRPL51	1921	1508	1804	2121
s_1089	LPL	3443	2714	3260	3653
s_1600	RABGGTA	3592	2753	3505	3643
s_2201	YEATS4	2489	2052	2408	2793
s_720	GPX4	3739	3102	3508	4018
s_1257	MSRA	4556	3698	4128	4758
s_1622	RBCK1	4534	3726	4233	4781
s_2924	Non-Targeting Control	3300	2776	3112	3730
s_700	GOT1	3349	2714	3234	3595
s_1253	MSN	2898	2448	2877	3151
s_2920	Non-Targeting Control	4141	3290	3747	4312
s_2046	TNFRSF14	6218	4801	5545	6214
s_506	DGKA	3535	3081	3259	3991
s_1601	RAC1	3849	3182	3488	4284
s_2124	TXNDC17	2781	2258	2545	2985
s_2297	GSX1	2946	2460	2696	3176
s_2338	Non-Targeting Control	3676	3007	3366	3895
s_1770	SFPQ	2981	2387	2976	2982
s_1589	RAB32	2065	1638	1995	2178
s_250	CBFB	4477	3656	4202	4781
s_1458	PELI1	3319	3619	3025	5006
s_484	DAD1	4440	3545	3958	4626
s_385	COMMD7	5090	4284	4710	5384
s_354	CIITA	3885	3068	3609	4086
s_1526	PPP2R1A	3203	2707	2909	3518
s_368	CLEC16A	3537	2817	3224	3897
s_2030	TMPRSS11F	3657	2971	3474	3796
s_489	DDAH2	3383	2695	3046	3664
s_2382	Non-Targeting Control	7075	5594	6261	7465
s_2811	Non-Targeting Control	4553	3654	4111	4811
s_1003	JRK	2931	2388	2593	3126
s_2014	TMEM258	3868	2993	3536	3990
s_370	CLIC1	4305	3549	3893	4798
s_52	AKT1	3080	2501	2805	3317
s_701	GPAA1	2518	2060	2303	2650
s_2360	Non-Targeting Control	3330	2872	3124	3694
s_2394	Non-Targeting Control	4980	4120	4325	5363
s_449	CTSB	3163	2622	2979	3411
s_1098	LRRC32	4941	3975	4571	5162
s_1285	NAMPT	3980	3150	3750	3936
s_2884	Non-Targeting Control	4334	3455	4091	4633
s_2251	ZNF79	4165	3391	3878	4590
s_2332	GSDMD	4885	3879	4595	5063
s_329	CEP290	4225	3374	3973	4412
s_908	IL23R	4126	3407	3810	4462
s_376	CNEP1R1	5844	4712	5524	6068
s_1249	MS4A7	6122	4944	5897	6423
s_1769	SFPQ	2440	1968	2290	2531
s_1540	PRF1	3860	3014	3597	3845
s_935	IRAK1	4246	3456	3891	4554
s_563	E2F7	3640	3034	3631	3912
s_1857	SPRED2	5153	4266	4636	5297
s_1199	MBL2	3372	2746	3259	3564
s_1333	NFKBIB	3428	2670	2763	3442
s_2453	Non-Targeting Control	4176	3407	3873	4222
s_269	CCDC88B	3893	3292	3630	4037
s_1592	RAB32	1833	1564	1708	2031
s_353	CIITA	4706	3869	4365	4897
s_1324	NFKB1	4646	3574	4234	4597
s_881	IL12B	4386	3505	3990	4560
s_1917	TBCE	3450	2785	3050	3451
s_1464	PGM3	4999	4044	4510	5077
s_896	IL18R1	4741	3905	4464	5072
s_377	COMMD1	5214	4244	4831	5499
s_611	ERCC6	4921	3958	4642	5207
s_2237	ZMIZ1	4374	3764	4111	5110
s_1342	NFKBIZ	3013	4131	2705	5743
s_2352	Non-Targeting Control	4594	3910	4274	5010
s_1587	RAB18	4463	3626	4178	4754
s_2454	Non-Targeting Control	4983	3831	4507	5274
s_1528	PPP2R1A	3420	2892	3182	3646
s_62	AP1AR	4639	3940	4468	5009
s_2198	XPR1	3059	2347	2802	3127
s_122	ATP2B4	3563	2870	3263	3862
s_2610	Non-Targeting Control	4240	3583	3893	4657
s_958	IRF3	4485	3606	4157	4625
s_1110	LY96	4290	3585	3803	4799
s_2229	ZFP36	2735	1500	2687	1768
s_2312	CD38	2689	2118	1861	2587
s_604	ENPP6	4257	3413	3935	4671
s_1585	RAB18	3458	2846	3272	3808
s_171	BRAF	3431	2698	3282	3628
s_2556	Non-Targeting Control	1760	1441	1604	1924
s_2302	TGFBR1	4029	3210	3715	4138
s_2148	UNG	4365	3343	4064	4430
s_667	FOXM1	2856	2340	2641	3131
s_2659	Non-Targeting Control	4187	3473	3939	4474
s_584	EGR2	3356	2746	2967	3541
s_2175	VHL	2846	2252	2520	3099
s_1469	PIGT	2434	1931	2187	2572
s_1446	PDCD10	4211	3430	3965	4523
s_1349	NIPAL2	3425	2693	3184	3728
s_187	BUD13	4264	3434	3779	4472
s_2220	ZCCHC11	4643	3726	4300	4937
s_2842	Non-Targeting Control	3523	2989	3299	3890
s_1147	MAP2K6	4249	3523	3868	4441
s_2076	TRAF3	4249	3755	3882	4843
s_1144	MAP2K4	4147	3405	3871	4458
s_2219	ZCCHC11	3054	2461	2812	3226
s_694	GOSR2	4768	3796	4671	4962
s_100	ASCC1	2932	2349	2724	2975
s_2638	Non-Targeting Control	4051	3260	3923	4119
s_1377	NOTCH4	4021	3533	3700	4167
s_1216	MEF2C	4962	3936	4577	5415
s_1791	SKIV2L	3681	2947	3345	3964
s_1009	JUNB	1753	1375	1637	1808
s_1543	PRKAA1	4907	4021	4650	5301
s_1983	TLR6	4298	3409	4009	4513
s_2317	NINJ1	4806	3765	4403	4840
s_1356	NIPBL	3067	2565	3005	3416
