sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_1836	SOX5	2667	3032	3032	3942	1018	1043	378	496
s_4184	ZNF566	4044	4385	4659	5905	1633	1717	632	775
s_5277	NKX2-4	1576	1892	1795	2285	701	734	274	346
s_3194	PTPN22	2892	3164	3275	4309	1000	1041	351	441
s_3453	ZNF562	4641	5318	5176	6719	829	1109	376	577
s_1240	MICB	1136	1250	1280	1602	413	449	174	202
s_2384	ZNF140	2019	2158	2329	3066	944	907	367	416
s_1757	CCL4	2077	2283	2136	2873	242	278	105	97
s_1402	NFYC	3672	4064	3982	5399	1103	1227	474	545
s_180	CEBPB	1708	1821	1764	2344	380	468	154	205
s_3660	ZBTB2	2454	2755	2791	3339	857	934	341	401
s_5106	FOXD4L4	2976	3343	3354	4352	782	866	366	371
s_3812	SOX17	1752	1805	1984	2543	213	466	115	221
s_5681	Non-Targeting Control	1062	1229	1189	1672	405	477	186	211
s_1446	NR4A2	1555	1677	1734	2338	337	305	165	152
s_3971	BTNL8	2069	2331	2351	2958	391	505	180	190
s_3491	BATF3	1485	1635	1750	2368	613	694	241	323
s_4969	ZNF852	2617	2939	2935	3935	364	430	171	175
s_2926	NFAT5	2687	3059	2987	3943	931	1062	354	505
s_5719	Non-Targeting Control	2876	3027	3062	4141	445	737	251	411
s_2831	ZNF267	2194	2331	2374	3087	887	953	362	438
s_1711	RORC	2451	2700	2786	3574	847	908	360	411
s_5887	Non-Targeting Control	2062	2331	2233	2926	195	251	113	120
s_4605	CREB3L4	2959	3240	3223	4334	1224	1312	505	574
s_4073	ZNF484	3056	3353	3450	4470	1218	1340	476	578
s_5638	Non-Targeting Control	5079	5782	5509	7354	1866	1921	751	903
s_2707	HAND2	1755	1997	2024	2550	636	677	272	308
s_1614	PPARG	3484	3943	3874	5278	1520	1658	545	712
s_1637	PTEN	2920	3128	3215	4305	1262	1370	501	573
s_3051	ZNF652	2979	3284	3155	4175	1157	1352	469	567
s_1453	OTX1	2364	2630	2640	3577	360	450	170	152
s_3929	E2F8	3293	3558	3713	4888	1130	1235	458	557
s_1242	MITF	1741	1909	2004	2501	670	706	241	275
s_3781	NEUROD6	3742	3999	4059	5327	1590	1663	578	753
s_4344	ZNF653	1889	1998	2218	2831	370	384	136	166
s_5290	ANHX	1632	1948	1850	2458	363	411	147	195
s_493	BPTF	2099	2379	2319	3130	839	965	337	370
s_553	FOXS1	2464	2540	2506	3348	820	825	291	403
s_2077	TFDP1	1468	1637	1629	2012	505	625	255	267
s_3055	ZFP30	2745	3157	3215	4262	806	917	315	406
s_80	BACH1	1458	1558	1672	2180	392	413	141	189
s_663	GTF2I	3179	3455	3407	4460	532	386	166	204
s_2164	USF1	1591	1882	1842	2457	750	778	279	345
s_1487	PAX6	1968	2033	2147	2895	638	759	248	280
s_4603	CREB3L4	2583	2676	2673	3500	528	187	73	69
s_1434	NRF1	2017	2138	2265	2958	764	810	292	356
s_1150	LTA	2407	2703	2499	3405	704	785	245	386
s_5340	ZNF737	2438	2788	2836	3529	359	446	165	205
s_2026	MLX	2108	2444	2401	3020	548	531	214	290
s_4165	ZNF341	2166	2504	2474	3157	282	310	140	167
s_1226	MEIS2	2398	2629	2787	3572	674	720	309	360
s_519	FOXD4	1409	1575	1509	2173	376	426	180	194
s_2512	LST1	3046	3441	3293	4256	774	790	280	319
s_2368	ZNF133	1400	1492	1466	1957	195	255	83	124
s_429	ERG	3218	3517	3540	4717	1227	1451	539	678
s_3236	ZBTB32	3699	4341	3924	5735	250	267	82	149
s_1623	PRKRIR	2646	2706	2844	3735	355	358	136	161
s_5846	Non-Targeting Control	1494	1578	1664	2113	561	617	230	262
s_1684	RFX1	1556	1787	1894	2249	183	167	55	88
s_2402	ZNF148	3186	3502	3530	4681	1167	1301	464	534
s_5853	Non-Targeting Control	1383	1368	1460	1953	497	534	201	246
s_2800	ZNF263	2813	3224	3124	3987	510	538	238	263
s_786	TLX1	2021	2200	2241	2823	518	606	244	251
s_4366	DBX1	3070	3219	3387	4282	164	181	69	59
s_4533	ZNF785	1245	1371	1429	1938	363	326	134	142
s_3930	E2F8	3005	3356	3399	4322	305	368	106	149
s_5430	Non-Targeting Control	4434	4814	4909	6266	903	1089	487	547
s_1314	MYOD1	1937	1858	1989	2630	220	319	94	101
s_689	HIVEP1	2032	2236	2081	2802	588	595	219	287
s_714	HLA-DPB1	2158	2383	2450	3233	346	564	244	194
s_2621	NR1I2	2858	3336	3017	3972	733	861	327	388
s_3187	ZNF658	2728	3003	2851	3677	162	200	83	71
s_1044	IL12A	2794	3161	3211	4203	988	1049	408	540
s_5688	Non-Targeting Control	3414	3833	3812	5319	1364	1433	549	697
s_5054	BARHL2	2337	2622	2792	3477	1028	1209	383	498
s_3121	HEY2	2571	2849	2797	3704	409	865	210	295
s_769	HNF4A	1933	2244	2110	2788	434	486	180	207
s_2974	ATF7	1939	2168	2050	2617	385	397	127	181
s_4949	ZNF615	1881	2102	2078	2689	564	603	220	273
s_2632	FOXH1	2925	3182	3189	4188	1218	1375	485	576
s_2934	SIX2	1304	1398	1450	1882	519	557	208	242
s_665	GTF3A	1702	1873	2017	2584	600	749	272	360
s_2788	NR2E3	2620	2974	2811	3709	286	369	129	170
s_2996	BTN3A1	1731	1934	1830	2493	649	683	264	325
s_3978	ZNF696	1915	2207	2164	3014	99	111	49	35
s_3234	ZBTB32	2606	2800	2921	3823	1241	1298	462	559
s_4914	FOXR1	2671	3035	3092	3840	1052	1146	410	516
s_4108	ZNF333	1318	1481	1416	1901	491	540	189	267
s_1261	MSH5	2245	2439	2416	3120	852	883	340	440
s_4193	LBX2	1374	1489	1562	2041	472	545	176	244
s_3807	ZSCAN31	2014	2206	2185	2982	328	461	140	221
s_4499	GATA5	1927	2126	2106	2735	784	871	309	368
s_3546	MYNN	2292	2640	2592	3451	388	466	149	244
s_633	GLI2	1357	1513	1521	2103	562	606	211	240
s_5499	Non-Targeting Control	1435	1720	1592	2116	165	180	64	112
s_5799	Non-Targeting Control	2708	2903	2838	3927	999	1084	408	472
s_3417	SIX4	1631	1832	1715	2333	123	203	52	122
s_4461	LIN54	2832	2935	3111	3983	567	692	263	312
s_1699	RFX5	2797	3154	3192	4220	547	691	273	277
s_4544	ZNF418	3893	4383	4264	5793	1284	1338	512	626
s_2222	ZNF711	3306	3695	3623	4713	1271	1292	517	665
s_1800	SKIV2L	2852	3010	2907	4103	849	957	334	443
s_1374	NFIL3	3596	3912	3978	5419	707	806	285	359
s_767	FOXA3	3267	3586	3649	4807	228	221	74	103
