sgRNA	Gene	D3_high	D3_low	D4_high	D4_low
s_2242	ZNF708	716	808	338	368
s_1422	NKX6-1	675	694	275	332
s_3054	ZFP30	1264	1436	506	544
s_4370	ZNF641	1299	1443	501	610
s_171	CDX4	650	729	262	327
s_2161	USF1	1221	1606	575	654
s_2563	GFI1B	585	671	262	248
s_142	CD1B	451	580	188	261
s_1198	MAX	757	879	261	378
s_2455	ZNF202	1033	1063	425	544
s_1992	TCF3	1037	1108	349	477
s_4185	ZIC5	697	862	311	382
s_5050	ZSCAN22	345	507	161	255
s_5343	ZNF316	424	472	195	228
s_3158	VAX2	407	445	176	202
s_2287	ZNF33A	695	734	308	379
s_4955	HKR1	1249	1305	471	568
s_4111	LCOR	451	472	201	235
s_4523	ZSCAN29	421	491	176	194
s_1642	PTPRC	812	898	331	407
s_4813	ZSCAN4	919	987	357	433
s_4365	DBX1	98	148	20	108
s_5763	Non-Targeting Control	664	664	260	353
s_4856	RFX6	616	668	287	320
s_3317	NEUROG3	619	646	228	341
s_5387	CCDC169-SOHLH2	596	635	248	300
s_3227	FOXD3	1070	1216	417	573
s_4574	ZNF565	480	517	205	227
s_1230	MEOX1	761	851	311	364
s_4148	KDM2B	304	339	233	176
s_1507	PBX3	167	179	63	73
s_1972	TBX15	477	541	204	266
s_5378	ZNF783	694	683	240	303
s_3918	ZNF322	961	1088	398	504
s_3545	MYNN	878	1051	349	480
s_4664	ZNF519	712	849	281	361
s_4237	ZNF799	587	670	250	301
s_5020	ZNF680	798	891	284	335
s_1649	RAD21	1207	1317	449	575
s_4242	ZNF439	1232	1354	508	598
s_2472	ZNF217	681	797	264	338
s_1975	TCF4	822	809	335	439
s_1165	MXD1	534	601	249	276
s_5855	Non-Targeting Control	830	893	324	519
s_2841	KLF2	64	99	28	36
s_1691	RFX3	136	164	94	82
s_4442	BHLHE23	188	197	67	69
s_5896	Non-Targeting Control	813	998	326	394
s_2426	ZNF177	846	876	342	414
s_2214	ZNF2	855	973	349	451
s_2022	TCF21	179	168	87	73
s_727	HLA-DRA	553	552	215	236
s_5544	Non-Targeting Control	551	374	261	309
s_5557	Non-Targeting Control	632	675	250	261
s_5626	Non-Targeting Control	860	1024	386	428
s_2060	TFAP2C	1252	1320	471	560
s_3668	ZFP14	694	769	265	359
s_5806	Non-Targeting Control	1024	1036	383	514
s_5988	EGFP	235	266	102	104
s_2504	GPANK1	557	591	222	260
s_331	E2F3	668	726	255	310
s_3101	SATB2	1039	1187	462	574
s_1577	POU3F4	599	676	230	344
s_315	DNMT1	638	679	170	351
s_4228	ZNF766	1143	957	400	625
s_1634	PSMB9	561	641	225	236
s_596	GATA1	146	168	73	71
s_2478	ZNF224	1252	1352	483	601
s_1261	MSH5	852	883	340	440
s_3911	HMBOX1	851	875	346	366
s_4018	PDCD1LG2	273	376	162	180
s_1212	MEF2A	1060	1118	400	558
s_3762	FKBPL	560	641	253	272
s_4212	ZNF628	253	244	96	111
s_3185	ZNF658	972	1173	425	553
s_1337	NFATC2	542	502	212	239
s_4202	HSFY1	840	957	321	410
s_3031	TFEC	770	833	271	332
s_2755	ZEB2	933	1157	398	546
s_307	DLX6	739	780	281	328
s_2442	ZNF189	1151	1243	477	538
s_3496	ZNF823	518	663	217	292
s_566	FLI1	663	729	252	300
s_2498	PRRC2A	143	98	41	66
s_4597	ZNF555	987	1102	381	436
s_5669	Non-Targeting Control	337	428	154	223
s_3791	PRDM15	401	497	239	195
s_1428	NPAS1	424	462	155	191
s_2874	DEAF1	233	291	120	113
s_3896	IRX3	749	813	262	401
s_3628	ZNF287	1313	1487	524	593
s_2048	TERF2	678	595	251	347
s_5895	Non-Targeting Control	394	355	138	185
s_109	KLF5	594	618	212	286
s_585	NR5A1	382	417	148	165
s_3572	RNF20	859	837	329	418
s_149	CD1D	737	731	307	362
s_4626	IRX2	167	162	60	102
s_4165	ZNF341	282	310	140	167
s_1206	MECP2	701	892	271	404
s_373	ELF2	810	902	352	416
s_3033	IKZF3	1772	1812	687	860
s_5700	Non-Targeting Control	577	597	278	270
s_1782	SIM1	678	820	283	378
s_2876	DEAF1	668	711	269	361
s_1130	JUND	353	378	130	182
s_4942	ZNF780A	728	754	249	358
s_5880	Non-Targeting Control	678	798	298	324
s_5168	BSX	220	347	90	131
s_1320	MYOG	317	373	125	152
s_1706	RORB	596	673	269	293
s_2325	ZNF75A	611	713	248	335
s_3239	FOXP1	954	945	373	421
s_2689	PPT2	576	657	234	278
s_3069	KLRK1	1159	1312	496	557
s_3576	ASCL3	846	973	329	355
s_4008	ZKSCAN3	302	413	136	186
s_537	FOXC2	562	585	195	284
s_3050	ZNF652	467	477	182	214
s_3000	BTN2A1	856	921	361	435
s_128	RUNX1	591	600	215	302
s_2490	ZNF236	319	340	136	145
s_5915	Non-Targeting Control	365	353	156	195
s_3023	POU6F2	561	610	214	250
s_5818	Non-Targeting Control	313	223	97	136
s_5694	Non-Targeting Control	771	916	341	437
s_5466	Non-Targeting Control	310	362	127	142
s_479	ETV5	456	489	192	221
s_2633	PHOX2B	632	716	270	313
s_3691	ZNF410	553	610	47	256
s_5151	LIN28B	643	720	229	308
s_4403	ZNF543	850	935	322	394
s_805	HOXA4	152	205	69	107
s_141	CD1B	319	318	162	157
s_233	CREB1	746	838	292	423
s_3129	PATZ1	398	447	176	213
s_590	GABPA	715	843	217	356
s_605	GATA4	190	237	91	112
s_2518	MAFK	101	258	66	68
s_3560	DMAP1	1043	1051	357	538
s_2550	DPF3	331	319	130	170
s_5545	Non-Targeting Control	1192	1289	472	635
s_2157	NR1H2	323	313	133	151
s_3325	C6orf48	467	532	215	248
s_2499	PRRC2A	1327	1454	503	593
s_4210	ZNF628	335	397	132	208
s_4438	KLF17	671	745	294	328
s_4057	MXD3	543	609	258	300
s_3998	ZNF430	999	1099	423	513
s_4831	ZNF25	1483	1677	582	761
s_4072	TFAP2D	734	872	323	386
s_5903	Non-Targeting Control	734	700	300	323
s_4734	ZNF679	286	336	120	152
s_3393	PRRX2	423	453	155	226
s_1363	NFE2L2	116	123	54	83
s_161	CDX1	1220	1296	442	553
s_2621	NR1I2	733	861	327	388
s_3790	PRDM15	343	379	156	200
s_197	FOXN3	261	285	81	128
s_672	GZMA	1298	1270	510	579
s_4936	ZSCAN1	782	803	308	354
s_2846	IRF9	1044	1360	431	619
s_5203	ZNF880	605	658	214	313
s_244	ATF6B	439	559	83	223
s_4487	FOXR2	62	107	34	37
s_4274	MSANTD3	587	713	243	315
s_3170	ZNF521	797	833	348	414
s_2639	MBD2	172	313	72	93
s_3521	ZNF701	850	895	336	374
s_1803	SLAMF1	999	1088	372	500
s_2029	TEAD1	526	608	252	311
s_1845	SOX11	497	613	209	258
s_3517	ZFP64	480	508	188	265
s_5291	SKOR2	1007	1112	385	468
s_1888	SREBF1	612	694	226	300
s_5441	Non-Targeting Control	413	494	177	266
s_5701	Non-Targeting Control	559	639	219	249
s_3218	HBP1	974	1067	416	435
s_2238	ZNF12	947	940	387	453
s_3072	KLRK1	696	706	274	338
s_2368	ZNF133	195	255	83	124
s_3736	PRDM12	543	579	233	253
s_2434	ZNF184	552	605	204	265
s_5824	Non-Targeting Control	649	689	258	312
s_5124	ZNF808	902	1023	350	471
s_3396	PRRX2	565	637	245	324
s_2702	NCR2	1012	1021	348	502
s_4312	FOXP2	1252	1322	514	581
s_2290	ZNF35	1091	1135	441	525
s_5972	Non-Targeting Control	675	771	251	353
s_4763	GSX2	888	909	300	386
s_3224	ZNF285	287	304	125	146
s_5484	Non-Targeting Control	1218	1259	491	574
s_5782	Non-Targeting Control	718	856	329	366
s_3836	CPEB1	707	749	297	349
s_4239	ZNF799	833	821	341	435
