sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_4116_r3	ZNF527	1449.9	1330.8	1449.9	1330.8	-0.12352	7086.7	14377	0.99289	0.16038	0.83962	0.32076	0.99995	False
s_4029_r3	LY6G5C	651.3	571.52	651.3	571.52	-0.18821	3182.4	6458.3	0.99273	0.16042	0.83958	0.32084	0.99995	False
s_3823_r3	IKZF4	651.3	571.52	651.3	571.52	-0.18821	3182.4	6458.3	0.99273	0.16042	0.83958	0.32084	0.99995	False
s_702_r2	HLA-B	2165.2	2310.7	2165.2	2310.7	0.093759	10579	21471	0.99269	0.83957	0.16043	0.32086	0.99995	True
s_2690_r3	PPT2	867.3	959.33	867.3	959.33	0.14533	4234.6	8600.2	0.99235	0.83949	0.16051	0.32103	0.99995	True
s_4913_r3	FOXR1	248.74	298.01	248.74	298.01	0.25977	1213.7	2466.5	0.99205	0.83941	0.16059	0.32117	0.99995	True
s_1326_r2	NEUROD2	244.87	195.99	244.87	195.99	-0.31978	1194.6	2428.1	0.99197	0.16061	0.83939	0.32121	0.99995	False
s_805_r0	HOXA4	709.95	793.18	709.95	793.18	0.15971	3463.5	7039.9	0.99195	0.83939	0.16061	0.32122	0.99995	True
s_4598_r3	ZNF555	798.57	710.31	798.57	710.31	-0.16875	3894.9	7918.7	0.99183	0.16064	0.83936	0.32128	0.99995	False
s_2036_r2	TEAD4	1439.5	1558	1439.5	1558	0.11405	7020.7	14275	0.9918	0.83935	0.16065	0.32129	0.99995	True
s_855_r2	HOXB5	284.94	232.22	284.94	232.22	-0.294	1389.5	2825.5	0.99175	0.16066	0.83934	0.32132	0.99995	False
s_155_r3	CD44	343.65	285.76	343.65	285.76	-0.26529	1675.6	3407.6	0.9917	0.16067	0.83933	0.32135	0.99995	False
s_5259_r2	ZNF704	2141.5	2286	2141.5	2286	0.09416	10440	21235	0.99159	0.8393	0.1607	0.3214	0.99995	True
s_5598_r3	Non-Targeting Control	425.47	489.87	425.47	489.87	0.2029	2073.8	4219	0.9915	0.83928	0.16072	0.32144	0.99995	True
s_5893_r2	Non-Targeting Control	2097	2239.9	2097	2239.9	0.095067	10211	20794	0.99101	0.83916	0.16084	0.32168	0.99995	True
s_2968_r0	BTNL3	1377.5	1493.2	1377.5	1493.2	0.11632	6698.5	13659	0.99036	0.839	0.161	0.322	0.99995	True
s_4020_r3	PDCD1LG2	1315.7	1428.8	1315.7	1428.8	0.1189	6396.8	13046	0.99027	0.83898	0.16102	0.32204	0.99995	True
s_2570_r0	ZNF282	625.97	703.96	625.97	703.96	0.16916	3041.6	6207.1	0.98997	0.83891	0.16109	0.32219	0.99995	True
s_5334_r3	ZNF730	2140.4	1996.2	2140.4	1996.2	-0.10058	10399	21225	0.98988	0.16112	0.83888	0.32223	0.99995	False
s_2255_r1	ZNF18	979.33	881.8	979.33	881.8	-0.15118	4755.8	9711.1	0.98967	0.16117	0.83883	0.32233	0.99995	False
s_2455_r2	ZNF202	1577.6	1701.3	1577.6	1701.3	0.1089	7659	15643	0.98955	0.8388	0.1612	0.32239	0.99995	True
s_1181_r3	SMAD5	376.38	436.8	376.38	436.8	0.21427	1825.6	3732.2	0.98909	0.83869	0.16131	0.32262	0.99995	True
s_944_r3	HOXD13	376.38	436.8	376.38	436.8	0.21427	1825.6	3732.2	0.98909	0.83869	0.16131	0.32262	0.99995	True
s_3863_r2	RFX7	1599.8	1724.4	1599.8	1724.4	0.10811	7757.9	15864	0.98897	0.83866	0.16134	0.32268	0.99995	True
s_4197_r3	SCRT2	949.13	853.19	949.13	853.19	-0.15355	4601.5	9411.6	0.98885	0.16137	0.83863	0.32274	0.99995	False
s_3273_r2	GRHL1	378.44	317.87	378.44	317.87	-0.25091	1834.4	3752.6	0.98876	0.16139	0.83861	0.32278	0.99995	False
s_5605_r2	Non-Targeting Control	995.8	897.6	995.8	897.6	-0.14963	4822.1	9874.5	0.98827	0.16151	0.83849	0.32302	0.99995	False
s_1652_r3	RAD21	189.83	146.96	189.83	146.96	-0.36703	918.64	1882.3	0.98799	0.16158	0.83842	0.32316	0.99995	False
s_2497_r3	PRRC2A	759.3	673.57	759.3	673.57	-0.17259	3674.5	7529.3	0.98796	0.16159	0.83841	0.32317	0.99995	False
s_2547_r3	ALX1	1413.9	1530.9	1413.9	1530.9	0.11461	6842.2	14020	0.98796	0.83841	0.16159	0.32317	0.99995	True
s_415_r3	EN2	219.28	265.35	219.28	265.35	0.27397	1061.1	2174.4	0.98791	0.8384	0.1616	0.3232	0.99995	True
s_830_r3	HOXA11	219.28	265.35	219.28	265.35	0.27397	1061.1	2174.4	0.98791	0.8384	0.1616	0.3232	0.99995	True
s_4586_r3	ZNF98	1423.7	1306.3	1423.7	1306.3	-0.12403	6887	14117	0.98777	0.16163	0.83837	0.32327	0.99995	False
s_3607_r2	TBX20	832.56	922.3	832.56	922.3	0.14752	4027.2	8255.7	0.98773	0.83836	0.16164	0.32328	0.99995	True
s_3131_r3	PATZ1	307.65	253.1	307.65	253.1	-0.28056	1487.7	3050.7	0.98759	0.16168	0.83832	0.32336	0.99995	False
s_4179_r2	ZNF587	449.67	383.74	449.67	383.74	-0.22817	2173.1	4459	0.98728	0.16175	0.83825	0.32351	0.99995	False
s_3670_r2	ZBTB26	222.61	176.23	222.61	176.23	-0.33539	1075.7	2207.4	0.98723	0.16176	0.83824	0.32353	0.99995	False
s_2366_r3	ZNF133	432.02	367.4	432.02	367.4	-0.23313	2087.3	4283.9	0.98717	0.16178	0.83822	0.32356	0.99995	False
s_1363_r3	NFE2L2	271.65	220.44	271.65	220.44	-0.3001	1310.9	2693.7	0.98658	0.16192	0.83808	0.32385	0.99995	False
s_4218_r0	TGIF2LX	802.25	890.25	802.25	890.25	0.14997	3871.5	7955.2	0.98658	0.83807	0.16193	0.32385	0.99995	True
s_4975_r1	ZNF454	1196.8	1089.3	1196.8	1089.3	-0.13562	5774.2	11867	0.98647	0.16195	0.83805	0.3239	0.99995	False
s_4358_r2	OLIG1	569.88	495.74	569.88	495.74	-0.2007	2748.4	5651	0.98627	0.162	0.838	0.324	0.99995	False
s_1086_r2	IRF1	569.88	643.97	569.88	643.97	0.17604	2744.4	5651	0.98555	0.83782	0.16218	0.32435	0.99995	True
s_5672_r3	Non-Targeting Control	445.11	379.65	445.11	379.65	-0.22892	2142.3	4413.7	0.98526	0.16225	0.83775	0.3245	0.99995	False
s_2871_r2	ZNF211	1206.5	1314.3	1206.5	1314.3	0.1233	5804.2	11964	0.98502	0.83769	0.16231	0.32461	0.99995	True
s_3825_r3	IKZF5	1292.8	1404.3	1292.8	1404.3	0.11929	6218.9	12819	0.98501	0.83769	0.16231	0.32462	0.99995	True
s_1530_r3	PITX3	157.1	195.95	157.1	195.95	0.31701	754.75	1557.8	0.98438	0.83753	0.16247	0.32494	0.99995	True
s_634_r3	GLI2	157.1	195.95	157.1	195.95	0.31701	754.75	1557.8	0.98438	0.83753	0.16247	0.32494	0.99995	True
s_3379_r3	ZNF771	157.1	195.95	157.1	195.95	0.31701	754.75	1557.8	0.98438	0.83753	0.16247	0.32494	0.99995	True
s_2114_r3	NKX2-1	65.457	40.823	65.457	40.823	-0.66813	303.42	649.08	0.98414	0.16252	0.83748	0.32505	0.99995	False
s_5126_r1	ZNF808	1416.9	1533.5	1416.9	1533.5	0.11402	6797.9	14050	0.98371	0.83737	0.16263	0.32526	0.99995	True
s_5879_r2	Non-Targeting Control	765.78	851.48	765.78	851.48	0.15287	3673	7593.5	0.98357	0.83734	0.16266	0.32532	0.99995	True
s_3018_r3	KLF8	1008	1106.3	1008	1106.3	0.13406	4827.3	9995.8	0.98278	0.83714	0.16286	0.32571	0.99995	True
s_758_r2	FOXA1	443.73	508.91	443.73	508.91	0.19731	2124.2	4400.1	0.98262	0.8371	0.1629	0.3258	0.99995	True
s_4477_r2	NKX2-6	1815	1946.7	1815	1946.7	0.10102	8674.4	17998	0.98181	0.8369	0.1631	0.3262	0.99995	True
s_1764_r3	CCL5	680.75	600.09	680.75	600.09	-0.18166	3252.9	6750.4	0.98172	0.16312	0.83688	0.32624	0.99995	False
s_1884_r3	SPP1	1034.2	934.84	1034.2	934.84	-0.1456	4938.2	10255	0.98135	0.16321	0.83679	0.32642	0.99995	False
s_4763_r2	GSX2	1349	1462.5	1349	1462.5	0.11646	6441.1	13377	0.98134	0.83679	0.16321	0.32643	0.99995	True
s_2595_r2	YBX3	304.23	250.34	304.23	250.34	-0.28027	1452.2	3016.8	0.9812	0.16325	0.83675	0.32649	0.99995	False
