sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_25_r0	ADCY4	2780.6	2664.2	2780.6	2664.2	-0.061675	6775.6	16978	0.8934	0.18582	0.81418	0.37165	0.99724	False
s_2507_r0	Non-Targeting Control	3838.2	3697.7	3838.2	3697.7	-0.053815	9880.2	24778	0.89302	0.18592	0.81408	0.37185	0.99724	False
s_460_r0	CXCL10	2847.3	2965.2	2847.3	2965.2	0.058498	6946.2	17456	0.8921	0.81383	0.18617	0.37234	0.99724	True
s_1540_r0	PRF1	3348.3	3477.8	3348.3	3477.8	0.054731	8385.6	21110	0.89133	0.81362	0.18638	0.37275	0.99724	True
s_2317_r0	NINJ1	4182.6	4330.2	4182.6	4330.2	0.050001	10884	27408	0.89117	0.81358	0.18642	0.37284	0.99724	True
s_1529_r0	PPP2R1B	3463.9	3331.9	3463.9	3331.9	-0.056033	8711	21967	0.89057	0.18658	0.81342	0.37316	0.99724	False
s_676_r0	G6PC3	2816.2	2699.4	2816.2	2699.4	-0.0611	6823.5	17233	0.8899	0.18676	0.81324	0.37352	0.99724	False
s_1526_r0	PPP2R1A	3007.3	2885.9	3007.3	2885.9	-0.059425	7368.3	18611	0.88984	0.18678	0.81322	0.37355	0.99724	False
s_2562_r0	Non-Targeting Control	1054.3	1119.9	1054.3	1119.9	0.087092	2156	5464.1	0.88834	0.81282	0.18718	0.37436	0.99724	True
s_733_r0	GYPC	2060.8	2157.9	2060.8	2157.9	0.066401	4715.3	11954	0.8882	0.81278	0.18722	0.37443	0.99724	True
s_2588_r0	Non-Targeting Control	3860.5	3720.2	3860.5	3720.2	-0.053381	9837.2	24947	0.88806	0.18725	0.81275	0.37451	0.99724	False
s_2546_r0	Non-Targeting Control	1936.3	2029.9	1936.3	2029.9	0.068066	4379.9	11114	0.88779	0.81267	0.18733	0.37465	0.99724	True
s_452_r0	CTSB	4004.9	3861.6	4004.9	3861.6	-0.052528	10257	26046	0.88749	0.18741	0.81259	0.37482	0.99724	False
s_2444_r0	Non-Targeting Control	4509.2	4662.6	4509.2	4662.6	0.04825	11765	29939	0.88652	0.81233	0.18767	0.37534	0.99724	True
s_1160_r0	MAP3K14	3262.8	3389.5	3262.8	3389.5	0.054966	8032.5	20479	0.8857	0.81211	0.18789	0.37578	0.99724	True
s_2623_r0	Non-Targeting Control	2073	1975.9	2073	1975.9	-0.069183	4715.1	12037	0.88511	0.18805	0.81195	0.3761	0.99724	False
s_1936_r0	TFDP1	4563.7	4409.4	4563.7	4409.4	-0.049585	11892	30364	0.88505	0.18806	0.81194	0.37613	0.99724	False
s_2673_r0	Non-Targeting Control	2709.5	2822.8	2709.5	2822.8	0.05906	6414.3	16471	0.88255	0.81126	0.18874	0.37748	0.99724	True
